agcy_name,org_name,org_name_level,id_number,location,title,name_of_incumbent,type_of_appt,type_of_appt_full,pay_plan,pay_plan_full,level_grade_or_pay,tenure,expires
DEPARTMENT OF JUSTICE,,,13640,"Washington, DC",Deputy Assistant Attorney General,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13641,"Washington, DC",Deputy Assistant Attorney General,Richard Engle Zuckerman,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13642,"Washington, DC",Senior Counselor to the Assistant Attorney General,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,OFFICE OF JUSTICE PROGRAMS,1,13643,"Washington, DC","Assistant Attorney General, Office of Justice Programs",Vacant,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF JUSTICE,,,13644,"Washington, DC",Principal Deputy Assistant Attorney General,Katharine Taylor Sullivan,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13645,"Washington, DC","Deputy Assistant Attorney General, Operations and Management",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13646,"Washington, DC",General Counsel,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13647,"Washington, DC",Chief Information Officer,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13648,"Washington, DC","Deputy Director, Policy and Management",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13649,"Washington, DC","Deputy Director for Programs, Bureau of Justice Assistance",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13650,"Washington, DC",Chief of Staff,Michael J Costigan,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13651,"Washington, DC",Human Trafficking Program Director,William C. Woolf III,TA,Limited Term Appointment,ES,Senior Executive Service,,,2022-12-15T00:00:00Z
DEPARTMENT OF JUSTICE,,,13652,"Washington, DC",Senior Counselor,Brady C Toensing,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13653,"Washington, DC",Senior Counselor,Matt M Dummermuth,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13654,"Washington, DC",Senior Advisor,Cheryl L Nolan,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13655,"Washington, DC",Senior Counselor,Gary Evan Barnett,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13656,"Washington, DC","Executive Director, Federal Interagency Council on Crime Prevention and Improving Reentry",John Anthony Lowden,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13657,"Washington, DC",Special Advisor for Policy and Communications,Clare Murphy Morell,SC,Schedule C Excepted Appointment,GS,General Schedule,12,,
DEPARTMENT OF JUSTICE,,,13658,"Washington, DC",Chief of Staff,James Russell Sapp,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF JUSTICE,,,13659,"Washington, DC",Policy Advisor,Mark Alden Morgan,SC,Schedule C Excepted Appointment,GS,General Schedule,12,,
DEPARTMENT OF JUSTICE,,,13660,"Washington, DC",Senior Advisor,Edward James Puccerella,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF JUSTICE,,,13661,"Washington, DC",Senior Advisor,Guy F Burnett,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF JUSTICE,,,13662,"Washington, DC",Senior Advisor,Darlene L Hutchinson,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF JUSTICE,,,13663,"Washington, DC",Senior Advisor,Patricia M Nation,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF JUSTICE,,,13664,"Washington, DC",Legislative Assistant,Taylor Beth Stephens,SC,Schedule C Excepted Appointment,GS,General Schedule,11,,
DEPARTMENT OF JUSTICE,,,13665,"Washington, DC",Outreach Coordinator,Rebecca Sears Holdenried,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF JUSTICE,,,13666,"Washington, DC",Staff Assistant,Mary Ellen Flynn,SC,Schedule C Excepted Appointment,GS,General Schedule,5,,
DEPARTMENT OF JUSTICE,,,13667,"Washington, DC",Director Office for Victims of Crime,Jessica Elizabeth Hart,PA,Presidential Appointment (without Senate Confirmation),EX,Executive Schedule,IV,,
DEPARTMENT OF JUSTICE,,,13668,"Washington, DC","Director, Smart Office",Kendel Sibiski Ehrlich,PA,Presidential Appointment (without Senate Confirmation),EX,Executive Schedule,IV,,
DEPARTMENT OF JUSTICE,,,13669,"Washington, DC","Director, Bureau of Justice Assistance",Vacant,PA,Presidential Appointment (without Senate Confirmation),EX,Executive Schedule,IV,,
DEPARTMENT OF JUSTICE,,,13670,"Washington, DC","Deputy Director for Planning, Bureau of Justice Assistance",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,BUREAU OF JUSTICE STATISTICS,3,13671,"Washington, DC",Deputy Director,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13672,"Washington, DC","Director, Bureau of Justice Statistics",Jeffrey Hagen Anderson,PA,Presidential Appointment (without Senate Confirmation),EX,Executive Schedule,IV,,
DEPARTMENT OF JUSTICE,NATIONAL INSTITUTE OF JUSTICE,3,13673,"Washington, DC",Executive Science Advisor,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13674,"Washington, DC","Deputy Director, National Institute of Justice",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13675,"Washington, DC","Director, National Institute of Justice",David Muhlhausen,PA,Presidential Appointment (without Senate Confirmation),EX,Executive Schedule,IV,,
DEPARTMENT OF JUSTICE,OFFICE OF JUVENILE JUSTICE AND DELINQUENCY PREVENTION,3,13676,"Washington, DC",Deputy Administrator for Policy,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13677,"Washington, DC",Deputy Administrator,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13678,"Washington, DC","Administrator, Office of Juvenile Justice and Delinquency Prevention",Caren Lee Harp,PA,Presidential Appointment (without Senate Confirmation),EX,Executive Schedule,IV,,
DEPARTMENT OF JUSTICE,,,13679,"Washington, DC",Principal Deputy Administrator,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,COMMUNITY RELATIONS SERVICE,3,13680,"Washington, DC","Director, Community Relations Service",Vacant,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF JUSTICE,,,13681,"Washington, DC",Deputy Director,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,FOREIGN CLAIMS SETTLEMENT COMMISSION,3,13682,"Washington, DC",Chairman,Vacant,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,V,,
DEPARTMENT OF JUSTICE,,,13683,"Washington, DC",Member,Patrick Hovakimian,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,V,,
DEPARTMENT OF JUSTICE,,,13684,"Washington, DC",Member,Sylvia Becker,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,V,,
DEPARTMENT OF JUSTICE,OFFICE ON VIOLENCE AGAINST WOMEN,3,13685,"Washington, DC","Director, Office on Violence Against Women",Vacant,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,V,,
DEPARTMENT OF JUSTICE,,,13686,"Washington, DC",Principal Deputy Director,Laura Rogers,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13687,"Washington, DC",Deputy Director for Policy,Mary Elizabeth Powers,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF JUSTICE,,,13688,"Washington, DC",Special Advisor,Heather Courtney Fischer,SC,Schedule C Excepted Appointment,GS,General Schedule,12,,
DEPARTMENT OF JUSTICE,,,13689,"Washington, DC",Advisor,Errical Bryant,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF JUSTICE,EXECUTIVE OFFICE FOR UNITED STATES TRUSTEES,3,13690,"Washington, DC",Director,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13691,"Washington, DC",Deputy Director (General Counsel),Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13692,"Washington, DC",Deputy Director (Management),Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13693,"Washington, DC",Deputy Director (Field Operations),Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,COMMUNITY ORIENTED POLICING SERVICES,3,13694,"Washington, DC",Director,Phillip Edward Keith,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13695,"Washington, DC",Principal Deputy Director,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13696,"Washington, DC",Senior Advisor,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13697,"Washington, DC",Senior Advisor,Joseph David Brown,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF JUSTICE,OFFICE OF INFORMATION POLICY,3,13698,"Washington, DC","Director, Office of Information Policy",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,OFFICE OF THE SOLICITOR GENERAL,3,13699,"Washington, DC",Solicitor General,Noel Francisco,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,III,,
DEPARTMENT OF JUSTICE,,,13700,"Washington, DC",Principal Deputy Solicitor General,Jeffrey Bryan Wall,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13701,"Washington, DC",Deputy Solicitor General,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13702,"Washington, DC",Deputy Solicitor General,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13703,"Washington, DC",Deputy Solicitor General,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13704,"Washington, DC",Deputy Solicitor General,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,DEPARTMENT OF JUSTICE,3,13705,"Washington, DC","Director, Office of Privacy and Civil Liberties",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF JUSTICE,,,13706,"Washington, DC",Inspector General,Michael Horowitz,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF JUSTICE OFFICE OF THE INSPECTOR GENERAL,FRONT OFFICE,1,13707,"Washington, DC",Inspector General,Michael E Horowitz,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,II,,
DEPARTMENT OF LABOR,OFFICE OF THE SECRETARY,1,13708,"Washington, DC",Secretary of Labor,Eugene Scalia,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,I,,
DEPARTMENT OF LABOR,,,13709,"Washington, DC",Executive Assistant,Brenda Russell,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF LABOR,,,13710,"Washington, DC",Chief of Staff,Rachel Mondl,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13711,"Washington, DC",Deputy Chief of Staff,Catherine Bartley,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF LABOR,,,13712,"Washington, DC",Special Assistant to the Chief of Staff,Jordan Goldstein,SC,Schedule C Excepted Appointment,GS,General Schedule,7,,
DEPARTMENT OF LABOR,,,13713,"Washington, DC",Special Assistant to the Deputy Chief of Staff,Allison Dunn,SC,Schedule C Excepted Appointment,GS,General Schedule,7,,
DEPARTMENT OF LABOR,,,13714,"Washington, DC",Counselor to the Secretary,Andrew Kilberg,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13715,"Washington, DC",Senior Policy Advisor,Morgan Bowles,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF LABOR,,,13716,"Washington, DC",Executive Secretary,Caroline Robinson,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF LABOR,,,13717,"Washington, DC",Senior Advisor,Beverly Mckittrick,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13718,"Washington, DC",Special Assistant,Vanessa Barnes,SC,Schedule C Excepted Appointment,GS,General Schedule,7,,
DEPARTMENT OF LABOR,,,13719,"Washington, DC",Director of Scheduling and Operations,Abbie Sumbrum,SC,Schedule C Excepted Appointment,GS,General Schedule,11,,
DEPARTMENT OF LABOR,,,13720,"Washington, DC",Advance Lead,Stephanie Laudner,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF LABOR,,,13721,"Washington, DC",Advance Representative,Eric Evans,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13722,"Washington, DC",Advance Representative,Andrew Nixon,SC,Schedule C Excepted Appointment,GS,General Schedule,7,,
DEPARTMENT OF LABOR,,,13723,"Washington, DC","Director, Office of the White House Liaison",Colton Meehan,SC,Schedule C Excepted Appointment,GS,General Schedule,12,,
DEPARTMENT OF LABOR,,,13724,"Washington, DC",Deputy White House Liaison,Mitchell Brown,SC,Schedule C Excepted Appointment,GS,General Schedule,11,,
DEPARTMENT OF LABOR,,,13725,"Washington, DC","Director, Office of Faith-Based and Community Initiatives",Mark Zelden,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13726,"Washington, DC","Deputy Director, Office of Faith-Based and Community Initiatives",Nicole Hudgens,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF LABOR,,,13727,"Washington, DC",Chief of Staff,David Thomas,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13728,"Washington, DC",Special Assistant,Andrew Schwarz,SC,Schedule C Excepted Appointment,GS,General Schedule,7,,
DEPARTMENT OF LABOR,,,13729,"Washington, DC",Special Assistant,Daniel Sinton,SC,Schedule C Excepted Appointment,GS,General Schedule,11,,
DEPARTMENT OF LABOR,,,13730,"Washington, DC",Speechwriter,Kyle Huwa,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF LABOR,,,13731,"Washington, DC",Special Assistant,Blake Lanning,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF LABOR,,,13732,"Washington, DC",Special Assistant,Chad Squitieri,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13733,"Washington, DC",Principal Travel Aide,Fernando Espinoza,SC,Schedule C Excepted Appointment,GS,General Schedule,9,,
DEPARTMENT OF LABOR,,,13734,"Washington, DC",Special Assistant,Sophia Cabana,SC,Schedule C Excepted Appointment,GS,General Schedule,7,,
DEPARTMENT OF LABOR,,,13735,"Washington, DC","Director, Office of Public Liaison",Dean Heyl,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13736,"Washington, DC",Deputy Director,Sylvester Giustino,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF LABOR,,,13737,"Washington, DC",Special Assistant,Amanda Bryson,SC,Schedule C Excepted Appointment,GS,General Schedule,11,,
DEPARTMENT OF LABOR,,,13738,"Washington, DC",Senior Advisor,Rodolph Olivo,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF LABOR,OFFICE OF THE DEPUTY SECRETARY,3,13739,"Washington, DC",Deputy Secretary of Labor,Patrick Pizzella,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,II,,
DEPARTMENT OF LABOR,,,13740,"Washington, DC",Associate Deputy Secretary,Nathan Paul Mehrens,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13741,"Washington, DC",Counselor to the Deputy Secretary,Brett Swearingen,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13742,"Washington, DC",Special Assistant and Policy Advisor,Robert Minchin III,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF LABOR,,,13743,"Washington, DC",Confidential Assistant,Heather Wadyka,SC,Schedule C Excepted Appointment,GS,General Schedule,9,,
DEPARTMENT OF LABOR,OFFICE OF THE SOLICITOR,1,13744,"Washington, DC",Solicitor of Labor,Kate Siobhan Oscannlain,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF LABOR,,,13745,"Washington, DC",Deputy Solicitor,Timothy Taylor,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13746,"Washington, DC",Senior Counsel,Sharon Rose,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13747,"Washington, DC",Senior Counsel,Robbie J Norton,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13748,"Washington, DC",Senior Counsel,Courtney Walter,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13749,"Washington, DC",Counsel,Rebecca Furdek,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13750,"Washington, DC",Associate Solicitor for Employment and Training Legal Services,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13751,"Washington, DC",Associate Solicitor for Legislation and Legal Counsel,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT,1,13752,"Washington, DC",Assistant Secretary for Administration and Management,George B Slater,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF LABOR,,,13753,"Washington, DC",Deputy Assistant Secretary for Policy,David Langhaim,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13754,"Washington, DC",Senior Advisor,Mark Baker,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13755,"Washington, DC",Special Assistant,Edward Wilkinson,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13756,"Washington, DC",Special Assistant,Lisa S. Freeman,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF LABOR,,,13757,"Washington, DC",Chief Information Officer,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13758,"Washington, DC",Deputy Chief Information Officer,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,OFFICE OF THE ASSISTANT SECRETARY FOR POLICY,1,13759,"Washington, DC",Assistant Secretary for Policy,Vacant,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF LABOR,,,13760,"Washington, DC",Principal Deputy Assistant Secretary,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13761,"Washington, DC",Deputy Assistant Secretary,Alison Kilmartin,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13762,"Washington, DC",Deputy Assistant Secretary,Jonathan Wolfson,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13763,"Washington, DC",Senior Counselor for Compliance Initiatives,Nicole Brightbill,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13764,"Washington, DC",Senior Counsel and Policy Advisor,Wilson Freeman,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13765,"Washington, DC",Senior Policy Advisor for Workforce Health Initiatives,Meghan Stringer,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF LABOR,,,13766,"Washington, DC",Deputy Chief Economist,Feliks Pleszczynski,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF LABOR,,,13767,"Washington, DC",Policy Advisor,Jared Meyer,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF LABOR,,,13768,"Washington, DC",Special Assistant,Jay Sirot,SC,Schedule C Excepted Appointment,GS,General Schedule,9,,
DEPARTMENT OF LABOR,MINE SAFETY AND HEALTH ADMINISTRATION,1,13769,"Washington, DC",Assistant Secretary for Mine Safety and Health,David George Zatezalo,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF LABOR,,,13770,"Washington, DC",Deputy Assistant Secretary for Mine Safety and Health,Wayne  Palmer,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13771,"Washington, DC",Senior Policy Advisor,Paul Krivokuca,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13772,"Washington, DC",Senior Policy Advisor,James Vicini,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13773,"Arlington, VA",Deputy Administrator for Metal and Nonmetal,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13774,"Washington, DC","Administrator, Mine Safety Health Enforcement",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13775,"Arlington, VA","Director, Office of Standards, Regulation and Variances",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,OFFICE OF PUBLIC AFFAIRS,1,13776,"Washington, DC",Assistant Secretary for Public Affairs,Robert Bozzuto III,PA,Presidential Appointment (without Senate Confirmation),EX,Executive Schedule,IV,,
DEPARTMENT OF LABOR,,,13777,"Washington, DC",Deputy Assistant Secretary for Opa,Eric W Holland,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13778,"Washington, DC",Chief of Staff,John Ross Stewart,SC,Schedule C Excepted Appointment,GS,General Schedule,12,,
DEPARTMENT OF LABOR,,,13779,"Washington, DC",Senior Advisor for Policy and Media,Erica Clayton Wright,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13780,"Washington, DC",Senior Advisor for Communications,Megan P Sweeney,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13781,"Washington, DC",Senior Advisor for Digital Strategy and Creative Services,Stan Olshefski,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13782,"Washington, DC",Press Secretary,Emily  Weeks,SC,Schedule C Excepted Appointment,GS,General Schedule,11,,
DEPARTMENT OF LABOR,,,13783,"Washington, DC",Special Assistant,Mattie Nicholson,SC,Schedule C Excepted Appointment,GS,General Schedule,11,,
DEPARTMENT OF LABOR,,,13784,"Washington, DC",Deputy Assistant Secretary for Public Affairs,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,OFFICE OF THE CHIEF FINANCIAL OFFICER,1,13785,"Washington, DC",Chief Financial Officer,James Williams,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF LABOR,,,13786,"Washington, DC",Chief of Staff,James Hudgens,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF LABOR,,,13787,"Washington, DC",Associate Deputy Chief Financial Officer for Fiscal Integrity,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,WAGE AND HOUR DIVISION,1,13788,"Washington, DC",Wage and Hour Administrator,Cheryl Stanton,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,V,,
DEPARTMENT OF LABOR,,,13789,"Washington, DC",Counselor to the Administrator,Sheng Li,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13790,"Washington, DC",Senior Policy Advisor,Sarah Martin,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF LABOR,,,13791,"Washington, DC",Senior Policy Advisor,Andrew Rogers,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13792,"Washington, DC",Deputy Administrator,Susan Boone,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13793,"Washington, DC",Deputy Administrator,Keith E Sonderling,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13794,"Washington, DC",Chief of Staff,Michael Stojsavljevich,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13795,"Washington, DC",Senior Policy Advisor,Bradford Kelley,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13796,"Washington, DC",Senior Policy Advisor,Leif Olson,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF LABOR,,,13797,"Washington, DC",Policy Advisor,Mateo Forero,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF LABOR,,,13798,"Philadelphia, PA",Regional Administrator for Wage and Hour,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13799,"Chicago, IL",Regional Administrator for Wage and Hour,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13800,"Atlanta, GA",Regional Administrator for Wage and Hour,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13801,"Dallas, TX",Regional Administrator for Wage and Hour,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13802,"San Francisco, CA",Regional Administrator for Wage and Hour,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13803,"Washington, DC",Assistant Administrator for Policy,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,,,13804,"Washington, DC","Assistant Administrator for Planning, Performance Evaluation and Training",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF LABOR,VETERANS EMPLOYMENT AND TRAINING SERVICE,1,13805,"Washington, DC",Assistant Secretary for Veterans Employment and Training,John Lowry,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF LABOR,,,13806,"Washington, DC",Chief of Staff and Policy Advisor,Jonathan Vanderplas,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF LABOR,,,13807,"Washington, DC",Senior Policy Advisor,Daniel Greenberg,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF LABOR,,,13808,"Washington, DC",Special Assistant,Rieder Grunseth,SC,Schedule C Excepted Appointment,GS,General Schedule,7,,
